"consumer_1"	"consumer_2"	"consumer_3"	"consumer_4"	"consumer_5"	"consumer_6"	"consumer_7"	"consumer_8"	"consumer_9"	"consumer_10"	"consumer_11"	"consumer_12"	"consumer_13"	"consumer_14"	"consumer_15"	"consumer_16"	"consumer_17"	"consumer_18"	"consumer_19"	"consumer_20"	"consumer_21"	"consumer_22"	"consumer_23"	"consumer_24"	"consumer_25"	"consumer_26"	"consumer_27"	"consumer_28"	"consumer_29"	"consumer_30"
"resource_1"	3	3	6	2	2	1	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"resource_2"	7	1	4	2	1	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"resource_3"	1	1	2	1	3	6	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"resource_4"	2	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"resource_5"	3	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
"resource_6"	1	2	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"resource_7"	1	2	4	0	1	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"resource_8"	2	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"resource_9"	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"resource_10"	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"resource_11"	0	0	0	2	0	0	0	0	0	0	4	1	3	3	4	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0
"resource_12"	1	0	0	0	0	0	0	0	0	0	1	0	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"resource_13"	0	0	1	0	0	1	0	0	0	0	3	2	2	0	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"resource_14"	0	0	0	0	0	0	0	0	0	0	1	4	6	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
"resource_15"	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"resource_16"	0	0	0	0	0	0	0	0	0	0	4	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
"resource_17"	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"resource_18"	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0
"resource_19"	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
"resource_20"	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0
"resource_21"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	2	1	2	0	1	0	0
"resource_22"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	7	5	2	2	0	2	2	0	0
"resource_23"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	3	1	2	0	0	1
"resource_24"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	3	2	1	1	0	0	0	1
"resource_25"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	2	1	1	2	0	2	0	1
"resource_26"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	1	0	0
"resource_27"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	1
"resource_28"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0
"resource_29"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	2	1	0
"resource_30"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	1	0	3	0	0	0
