	C.perspicillata	C.subrufa	A.lituratus	C.villosum	Glossophaga.sp.	A.jamaicensis	D.phaeotis	P.helleri	A.toltecus	M.microtis	C.senex
P.marginatum	12	4	0	0	1	0	0	1	0	0	0
B.ungulata	1	0	0	0	1	0	0	0	0	0	0
B.nicaraguensis	1	0	0	0	0	0	0	0	0	0	0
A.reticulata	4	0	0	0	0	0	0	0	0	0	0
Solanum	2	0	0	0	0	0	0	0	0	0	0
Karwinskia	0	1	0	0	0	0	0	0	0	0	0
Piper	0	1	0	0	0	0	0	0	0	0	0
Ficus	0	0	1	3	0	3	1	0	1	0	0
M.chicle	0	0	2	0	0	3	2	0	1	0	0
Sapotaceae	0	0	2	0	0	3	2	0	1	0	0
Bauhinia	0	0	0	0	1	0	0	0	0	0	0
Pinus	0	0	0	0	1	0	0	0	0	0	0
Cecropia	0	0	0	0	1	0	0	3	0	0	0
F.citrifolia	0	0	0	0	0	0	2	0	0	0	1
P.amalago	0	0	0	0	0	0	1	0	0	0	0
Casearia	0	0	0	0	0	0	0	0	0	1	0
