	A.jamaicensis	A.lituratus	D.phaeotis	C.perspicillata	C.subrufa	C.villosum	G.soricina	G.leachii	P.helleri	S.lilium
Apocynum	1	0	0	0	0	0	0	0	0	0
Bauhinia	0	0	0	1	0	0	0	0	0	0
Cecropia	0	2	0	0	0	0	0	0	0	0
Cecropia1	1	0	0	2	0	0	0	0	0	1
Cecropia2	0	1	0	1	2	0	0	0	1	0
Cecropia3	1	0	0	0	0	0	0	0	0	0
Enterolobium	0	0	0	1	0	0	0	0	0	0
Ficus	3	0	0	0	0	1	0	0	0	0
Ficus1	0	0	2	0	0	0	1	0	0	0
Ficus2	0	0	1	0	0	1	3	1	0	0
Ficus3	0	0	1	0	0	0	0	0	0	0
Ficus4	18	8	0	0	0	8	0	0	0	0
M.tinctoria	0	0	0	0	0	0	0	0	0	1
M.calabura	0	0	1	3	1	0	0	3	1	0
Piper	0	0	0	0	1	0	0	0	0	0
S.erianthum	0	0	0	0	1	0	0	0	0	0
S.hazenii	1	0	3	21	11	1	0	0	0	1
S.schlechtendalianu	0	0	0	0	1	0	0	0	0	0
V.collinsii	0	0	0	1	0	0	0	0	0	0
Vismia	0	0	0	2	0	0	0	0	0	0
