	C.perspicillata	C.subrufa	A.lituratus	C.villosum	Glossophaga.sp.	L.thomasi	A.jamaicensis	D.phaeotis	P.helleri	A.toltecus	M.microtis	C.senex
Cecropia	2	1	0	0	1	0	1	0	5	0	0	0
Karwinskia	1	1	0	0	0	0	0	0	0	0	0	0
M.tinctoria	6	0	0	0	0	0	1	1	0	0	0	0
Solanum	12	3	0	0	0	0	0	0	0	0	0	0
Moraceae	5	0	0	0	0	0	1	0	0	0	0	0
Piper	1	1	0	0	0	0	0	0	0	0	0	0
P.marginatum	12	4	0	0	1	0	0	0	1	0	0	0
B.ungulata	1	0	0	0	1	0	0	0	0	0	0	0
B.nicaraguensis	1	0	0	0	0	0	0	0	0	0	0	0
A.reticulata	4	0	0	0	0	0	0	0	0	0	0	0
Erythroxylum	0	1	0	0	0	0	0	0	0	0	0	0
P.auritum	0	1	0	0	0	0	0	0	0	0	0	0
Ficus	0	0	3	8	2	0	7	1	0	1	0	0
M.chicle	0	0	2	0	0	0	3	2	0	1	0	0
Sapotaceae	0	0	2	0	0	0	3	2	0	1	0	0
Helicteres	0	0	0	0	1	0	0	0	0	0	0	0
P.amalago	0	0	0	0	4	3	1	1	0	0	0	0
Bauhinia	0	0	0	0	1	0	0	0	0	0	0	0
Pinus	0	0	0	0	1	0	0	0	0	0	0	0
M.calabura	0	0	0	0	0	1	0	0	0	0	0	0
F.citrifolia	0	0	0	0	0	0	0	2	0	0	0	1
Casearia	0	0	0	0	0	0	0	0	0	0	1	0
